roll,mean,std,marginal,s1_prob,s2_prob,s3_ot_remaining,n_s3_ot_total,p1,p5,p10,p25,p50,p75,p90,p95,p99
138,1087.0804,201.7342,11.7266,1.000000,1.000000,700.71,737,782.00,834.00,866.00,929.00,1046.00,1212.00,1358.00,1472.00,1678.00
139,1098.6811,202.8355,11.6007,1.000000,1.000000,700.44,737,792.00,844.00,875.00,939.00,1059.00,1224.00,1372.00,1485.00,1691.00
140,1110.3317,204.0890,11.6506,1.000000,1.000000,700.18,737,801.00,853.00,885.00,950.00,1071.00,1236.00,1387.00,1498.00,1706.00
141,1121.9228,205.2106,11.5911,1.000000,1.000000,699.92,737,810.00,863.00,895.00,960.00,1084.00,1248.00,1400.00,1510.00,1722.00
142,1133.5404,206.4011,11.6177,1.000000,1.000000,699.65,737,819.00,872.00,904.00,970.00,1097.00,1259.00,1415.00,1525.00,1736.00
143,1145.0911,207.5504,11.5507,1.000000,1.000000,699.39,737,828.00,881.00,914.00,981.00,1109.00,1271.00,1429.00,1538.00,1750.00
144,1156.6897,208.6839,11.5986,1.000000,1.000000,699.12,737,837.00,891.00,924.00,991.00,1122.00,1283.00,1443.00,1550.00,1764.00
145,1168.3248,209.8005,11.6350,1.000000,1.000000,698.86,737,846.00,900.00,934.00,1002.00,1135.00,1295.00,1456.00,1563.00,1779.00
146,1179.8723,210.9136,11.5476,1.000000,1.000000,698.60,737,856.00,910.00,943.00,1012.00,1148.00,1307.00,1470.00,1576.00,1793.00
147,1191.5601,212.0839,11.6878,1.000000,1.000000,698.34,737,864.00,919.00,953.00,1023.00,1161.00,1319.00,1484.00,1589.00,1807.00
148,1203.1378,213.2305,11.5777,1.000000,1.000000,698.07,737,873.00,929.00,963.00,1033.00,1173.00,1330.00,1498.00,1602.00,1820.00
149,1214.6779,214.2299,11.5402,1.000000,1.000000,697.81,737,883.00,939.00,973.00,1044.00,1186.00,1342.00,1511.00,1614.00,1834.00
150,1226.3664,215.3495,11.6885,1.000000,1.000000,697.55,737,892.00,948.00,983.00,1054.00,1199.00,1354.00,1525.00,1627.00,1848.00
151,1237.9921,216.4207,11.6256,1.000000,1.000000,697.28,737,901.00,958.00,992.00,1065.00,1211.00,1366.00,1538.00,1640.00,1861.00
152,1249.6293,217.4597,11.6372,1.000000,1.000000,697.02,737,910.00,967.00,1002.00,1075.00,1224.00,1377.00,1551.00,1653.00,1875.00
153,1261.2983,218.5825,11.6690,1.000000,1.000000,696.76,737,919.00,976.00,1012.00,1086.00,1237.00,1389.00,1565.00,1666.00,1889.00
154,1272.8468,219.6000,11.5485,1.000000,1.000000,696.49,737,929.00,986.00,1022.00,1097.00,1249.00,1401.00,1578.00,1678.00,1903.00
155,1284.4700,220.6753,11.6232,1.000000,1.000000,696.23,737,938.00,996.00,1032.00,1107.00,1261.00,1413.00,1590.00,1691.00,1916.00
156,1296.1485,221.7108,11.6785,1.000000,1.000000,695.97,737,947.00,1005.00,1041.00,1118.00,1273.00,1425.00,1603.00,1704.00,1931.00
157,1307.7505,222.7020,11.6020,1.000000,1.000000,695.70,737,957.00,1015.00,1052.00,1129.00,1286.00,1437.00,1616.00,1716.00,1943.00
158,1319.3389,223.7768,11.5884,1.000000,1.000000,695.44,737,966.00,1024.00,1061.00,1139.00,1298.00,1449.00,1629.00,1730.00,1957.00
159,1330.9021,224.8023,11.5632,1.000000,1.000000,695.18,737,975.00,1034.00,1071.00,1150.00,1310.00,1461.00,1642.00,1742.00,1971.00
160,1464.6143,151.7059,133.7122,1.000000,1.000000,695.04,737,1228.00,1280.00,1310.00,1364.00,1434.00,1528.00,1662.00,1757.00,1985.00
161,1477.6378,153.5853,13.0235,1.000000,1.000000,694.78,737,1239.00,1291.00,1321.00,1375.00,1446.00,1543.00,1680.00,1773.00,1999.00
162,1490.0639,155.6860,12.4260,1.000000,1.000000,694.52,737,1248.00,1300.00,1331.00,1386.00,1458.00,1557.00,1697.00,1789.00,2011.00
163,1502.2817,157.7249,12.2179,1.000000,1.000000,694.26,737,1258.00,1310.00,1340.00,1396.00,1469.00,1572.00,1713.00,1805.00,2027.00
164,1514.5743,159.7813,12.2925,1.000000,1.000000,694.00,737,1267.00,1320.00,1350.00,1406.00,1480.00,1586.00,1729.00,1821.00,2040.00
165,1526.9312,161.7486,12.3569,1.000000,1.000000,693.74,737,1276.00,1330.00,1360.00,1416.00,1492.00,1602.00,1745.00,1837.00,2054.00
166,1539.2255,163.7425,12.2943,1.000000,1.000000,693.48,737,1285.00,1339.00,1369.00,1427.00,1503.00,1616.00,1761.00,1853.00,2070.00
167,1551.5369,165.6286,12.3114,1.000000,1.000000,693.22,737,1295.00,1348.00,1380.00,1437.00,1515.00,1631.00,1776.00,1868.00,2084.00
168,1563.8792,167.5893,12.3423,1.000000,1.000000,692.95,737,1304.00,1358.00,1389.00,1448.00,1527.00,1647.00,1790.00,1883.00,2099.00
169,1576.1265,169.3750,12.2474,1.000000,1.000000,692.69,737,1313.00,1368.00,1399.00,1458.00,1538.00,1662.00,1805.00,1898.00,2113.00
170,1587.3734,171.4539,11.2469,1.000000,1.000000,692.42,737,1321.00,1376.00,1408.00,1467.00,1549.00,1676.00,1820.00,1913.00,2127.00
171,1599.8984,173.0792,12.5250,1.000000,1.000000,692.16,737,1331.00,1386.00,1418.00,1478.00,1561.00,1691.00,1834.00,1929.00,2143.00
172,1612.1224,174.8640,12.2240,1.000000,1.000000,691.90,737,1340.00,1396.00,1428.00,1489.00,1572.00,1706.00,1849.00,1945.00,2156.01
173,1624.2898,176.5661,12.1674,1.000000,1.000000,691.64,737,1350.00,1406.00,1438.00,1499.00,1584.00,1721.00,1863.00,1960.00,2171.00
174,1636.5584,178.3034,12.2686,1.000000,1.000000,691.37,737,1359.00,1415.00,1448.00,1509.00,1596.00,1736.00,1877.00,1976.00,2186.00
175,1648.7334,180.0161,12.1750,1.000000,1.000000,691.11,737,1368.00,1425.00,1458.00,1520.00,1608.00,1751.00,1891.00,1991.00,2201.00
176,1660.9781,181.7537,12.2447,1.000000,1.000000,690.85,737,1377.00,1435.00,1468.00,1530.00,1620.00,1765.00,1906.00,2006.00,2215.00
177,1673.2725,183.4550,12.2944,1.000000,1.000000,690.58,737,1387.00,1444.00,1477.00,1541.00,1632.00,1779.00,1920.00,2022.00,2230.00
178,1685.5073,185.0789,12.2349,1.000000,1.000000,690.32,737,1396.00,1454.00,1487.00,1551.00,1644.00,1794.00,1934.00,2037.00,2245.00
179,1697.7569,186.6896,12.2495,1.000000,1.000000,690.06,737,1405.00,1463.00,1497.00,1562.00,1656.00,1808.00,1948.00,2052.00,2259.00
180,1709.6403,188.4740,11.8834,1.000000,1.000000,689.80,737,1414.00,1472.00,1507.00,1572.00,1668.00,1822.00,1963.00,2067.00,2276.00
181,1722.0306,190.0291,12.3903,1.000000,1.000000,689.53,737,1423.00,1482.00,1517.00,1582.00,1680.00,1836.00,1977.00,2082.00,2291.00
182,1734.2588,191.6395,12.2282,1.000000,1.000000,689.27,737,1433.00,1492.00,1526.00,1593.00,1692.00,1850.00,1991.00,2097.00,2305.00
183,1746.5473,193.3433,12.2885,1.000000,1.000000,689.01,737,1442.00,1502.00,1536.00,1604.00,1705.00,1863.00,2006.00,2113.00,2321.00
184,1758.6711,194.8582,12.1237,1.000000,1.000000,688.75,737,1452.00,1511.00,1546.00,1614.00,1717.00,1877.00,2019.00,2127.00,2336.00
185,1770.9039,196.4013,12.2328,1.000000,1.000000,688.49,737,1461.00,1521.00,1556.00,1625.00,1729.00,1891.00,2034.00,2142.00,2351.00
186,1783.2043,197.8807,12.3004,1.000000,1.000000,688.23,737,1470.00,1530.00,1566.00,1635.00,1742.00,1904.00,2048.00,2157.00,2367.00
187,1795.3484,199.3576,12.1441,1.000000,1.000000,687.96,737,1480.00,1540.00,1576.00,1646.00,1755.00,1917.00,2062.00,2171.00,2382.00
